Exchange rates,USA,UK,Australia,Japan,Europe
,dollars,pounds ,dollars,yen,euros
,1,,,,
Irrigation,,,,,
Items for sale,,,,,
,Price in ,,,,
,USA,UK,Australia,Japan,Europe
Sprinkler gun,28,,,,
5 cm Hose reel,12,,,,
7.5 cm Hose reel,18,,,,
10 cm Hose reel,26,,,,
Workhorse pump,185,,,,
Supply pump,200,,,,
Booster Pump,60,,,,
Irrigation sprinkler,20,,,,
Oscillating sprinkler,32,,,,
Impulse sprinkler,40,,,,
Hose connector,2,,,,
Boom system,200,,,,
Greenhouse system,320,,,,
Drip system,16,,,,
Micro irrigation,36,,,,
